"rules","support","confidence","lift"
"{female,first} => {survived}",0.102017937219731,0.968085106382979,2.52494711957198
"{dead,unknown} => {third}",0.114349775784753,0.816,1.48242769857434
"{dead,noParch,noSibSp,unknown} => {male}",0.105381165919283,0.94,1.45317157712305
"{dead,second} => {male}",0.102017937219731,0.938144329896907,1.45030284621844
"{dead,noParch,noSibSp} => {male}",0.389013452914798,0.927807486631016,1.43432283895124
"{dead,noParch,unknown} => {male}",0.114349775784753,0.927272727272727,1.43349613990862
"{male,noSibSp,unknown} => {dead}",0.105381165919283,0.878504672897196,1.42737006962532
"{male,noParch,third} => {dead}",0.291479820627803,0.878378378378378,1.42716486978782
"{male,unknown} => {dead}",0.121076233183857,0.870967741935484,1.4151242728715
"{male,noSibSp,third} => {dead}",0.263452914798206,0.87037037037037,1.41415368009175
"{dead,noSibSp,youth} => {male}",0.182735426008969,0.910614525139665,1.40774377196634
"{male,third} => {dead}",0.336322869955157,0.864553314121037,1.40470228815294
"{dead,noParch} => {male}",0.452914798206278,0.907865168539326,1.4034934667887
"{dead,noSibSp} => {male}",0.404708520179372,0.907035175879397,1.40221035855186
"{male,noParch,unknown} => {noSibSp}",0.119955156950673,0.922413793103448,1.35327813067151
"{dead,youth} => {male}",0.232062780269058,0.873417721518987,1.35024022113507
"{dead,noParch,unknown} => {noSibSp}",0.112107623318386,0.909090909090909,1.33373205741627
"{dead} => {male}",0.524663677130045,0.852459016393443,1.3178395886013
"{male,noSibSp,third,youth} => {noParch}",0.146860986547085,1,1.31563421828909
"{male,noParch,third} => {noSibSp}",0.295964125560538,0.891891891891892,1.30849928876245
"{dead,noSibSp,third,youth} => {noParch}",0.13677130044843,0.983870967741935,1.29441431154249
"{noParch,third,youth} => {male}",0.167040358744395,0.827777777777778,1.27968419025611
"{noSibSp,unknown} => {noParch}",0.149103139013453,0.970802919708029,1.27722154038283
"{dead,noParch,third} => {noSibSp}",0.285874439461883,0.864406779661017,1.26817573595004
"{male,unknown} => {noSibSp}",0.119955156950673,0.862903225806452,1.26596986417657
"{noSibSp,third,youth} => {noParch}",0.172645739910314,0.956521739130435,1.25843273053739
"{noSibSp,third,youth} => {male}",0.146860986547085,0.813664596273292,1.25786623895282
"{male,noSibSp,youth} => {noParch}",0.214125560538117,0.955,1.25643067846608
"{dead,noSibSp,youth} => {noParch}",0.190582959641256,0.949720670391061,1.24948501178293
"{noParch,third} => {noSibSp}",0.36322869955157,0.850393700787402,1.24761707418152
"{male,noSibSp} => {noParch}",0.460762331838565,0.947004608294931,1.24591166755026
"{dead,noSibSp} => {noParch}",0.419282511210762,0.939698492462312,1.23629949155809
"{male,unknown} => {noParch}",0.130044843049327,0.935483870967742,1.23075459130269
"{dead,third,youth} => {noParch}",0.160313901345291,0.916666666666667,1.20599803343166
"{male,youth} => {noParch}",0.261210762331839,0.913725490196078,1.20212852102493
"{noSibSp,youth} => {noParch}",0.283632286995516,0.913357400722022,1.20164424991747
"{dead,unknown} => {noSibSp}",0.114349775784753,0.816,1.19715789473684
"{third,youth} => {noParch}",0.201793721973094,0.891089108910891,1.1723473232279
"{unknown} => {noParch}",0.176008968609865,0.887005649717514,1.1669749845841
"{dead,youth} => {noParch}",0.23542600896861,0.886075949367089,1.16575183899033
"{noSibSp} => {noParch}",0.602017937219731,0.883223684210526,1.16199930135072
"{male,third} => {noParch}",0.331838565022422,0.853025936599424,1.1222701112783
"{male} => {noParch}",0.542600896860987,0.838821490467938,1.10358225589587
"{youth} => {noParch}",0.362107623318386,0.834625322997416,1.09806163438598
"{dead} => {noParch}",0.498878923766816,0.810564663023679,1.06640660680991
